Borough,Neighborhood,Latitude,Longitude
Manhattan,Marble Hill,40.87655078,-73.91065966
Manhattan,Chinatown,40.71561842,-73.99427936
Manhattan,Washington Heights,40.85190253,-73.93690028
Manhattan,Inwood,40.86768396,-73.92121042
Manhattan,Hamilton Heights,40.82360428,-73.94968792
Manhattan,Manhattanville,40.81693443,-73.95738539
Manhattan,Central Harlem,40.81597607,-73.94321113
Manhattan,East Harlem,40.79224947,-73.94418223
Manhattan,Upper East Side,40.77563857,-73.96050763
Manhattan,Yorkville,40.77592985,-73.94711784
Manhattan,Lenox Hill,40.76811266,-73.95885969
Manhattan,Roosevelt Island,40.76215961,-73.94916769
Manhattan,Upper West Side,40.787658,-73.97705924
Manhattan,Lincoln Square,40.77352889,-73.98533777
Manhattan,Clinton,40.75910089,-73.99611936
Manhattan,Midtown,40.7546911,-73.98166883
Manhattan,Murray Hill,40.74830308,-73.97833208
Manhattan,Chelsea,40.74403471,-74.00311633
Manhattan,Greenwich Village,40.72693289,-73.99991403
Manhattan,East Village,40.72784678,-73.98222617
Manhattan,Lower East Side,40.71780675,-73.98089032
Manhattan,Tribeca,40.72152197,-74.01068329
Manhattan,Little Italy,40.71932379,-73.99730467
Manhattan,Soho,40.72218384,-74.00065667
Manhattan,West Village,40.73443394,-74.00617998
Manhattan,Manhattan Valley,40.79730704,-73.96428618
Manhattan,Morningside Heights,40.80799974,-73.96389628
Manhattan,Gramercy,40.73720983,-73.98137595
Manhattan,Battery Park City,40.71193198,-74.01686931
Manhattan,Financial District,40.70710711,-74.01066545
Manhattan,Carnegie Hill,40.78268257,-73.95325647
Manhattan,Noho,40.72325902,-73.98843368
Manhattan,Civic Center,40.71522892,-74.0054153
Manhattan,Midtown South,40.74850966,-73.98871313
Manhattan,Sutton Place,40.76028033,-73.96355614
Manhattan,Turtle Bay,40.75204237,-73.96770825
Manhattan,Tudor City,40.74691741,-73.97121929
Manhattan,Stuyvesant Town,40.73099955,-73.9740517
Manhattan,Flatiron,40.73967305,-73.99094711
Manhattan,Hudson Yards,40.75665808,-74.00011136
Downtown Toronto,"Kensington Market, Chinatown, Grange Park",43.6532057,-79.4000493
Downtown Toronto,"Toronto Dominion Centre, Design Exchange",43.6471768,-79.3815764
