Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Battery Park City,Park,Hotel,Gym,Coffee Shop,Memorial Site,Sandwich Place,Playground,Plaza,Burger Joint,Gourmet Shop
Carnegie Hill,Coffee Shop,Café,Yoga Studio,Bookstore,Gym / Fitness Center,Gym,Italian Restaurant,French Restaurant,Cosmetics Shop,Pizza Place
Central Harlem,African Restaurant,Cosmetics Shop,Chinese Restaurant,Fried Chicken Joint,French Restaurant,Bar,American Restaurant,Seafood Restaurant,Boutique,Bookstore
Chelsea,Coffee Shop,American Restaurant,Art Gallery,Italian Restaurant,Bakery,Ice Cream Shop,French Restaurant,Cycle Studio,Theater,Market
Chinatown,Chinese Restaurant,Cocktail Bar,Bakery,Dessert Shop,Spa,Salon / Barbershop,American Restaurant,Optical Shop,Vietnamese Restaurant,Noodle House
Civic Center,Coffee Shop,Yoga Studio,Gym / Fitness Center,Spa,Cocktail Bar,Hotel,Wine Shop,French Restaurant,Park,American Restaurant
Clinton,Theater,American Restaurant,Gym / Fitness Center,Coffee Shop,Sandwich Place,Italian Restaurant,Gym,Wine Shop,Spa,Hotel
East Harlem,Mexican Restaurant,Bakery,Thai Restaurant,Latin American Restaurant,Deli / Bodega,Sandwich Place,Spanish Restaurant,Liquor Store,Gas Station,Taco Place
East Village,Bar,Pizza Place,Mexican Restaurant,Wine Bar,Ice Cream Shop,Cocktail Bar,Italian Restaurant,Vietnamese Restaurant,Speakeasy,Korean Restaurant
Financial District,Coffee Shop,Bar,Hotel,Cocktail Bar,Pizza Place,Steakhouse,Gym,Café,Park,American Restaurant
Flatiron,Cycle Studio,New American Restaurant,Italian Restaurant,Japanese Restaurant,Furniture / Home Store,Gym,Mediterranean Restaurant,American Restaurant,Sporting Goods Shop,Mexican Restaurant
Gramercy,Bar,Italian Restaurant,American Restaurant,Bagel Shop,Thai Restaurant,Coffee Shop,Pizza Place,Cocktail Bar,Diner,Playground
Greenwich Village,Italian Restaurant,Sushi Restaurant,Clothing Store,Café,Ice Cream Shop,Indian Restaurant,Gym,Boutique,Chinese Restaurant,Burger Joint
Hamilton Heights,Pizza Place,Café,Coffee Shop,Mexican Restaurant,Yoga Studio,Park,Caribbean Restaurant,School,Chinese Restaurant,Sandwich Place
Hudson Yards,Hotel,Gym / Fitness Center,Café,American Restaurant,Thai Restaurant,Italian Restaurant,Gym,Park,Dog Run,Nightclub
Inwood,Mexican Restaurant,Restaurant,Café,Lounge,Spanish Restaurant,Bakery,Park,Pizza Place,Chinese Restaurant,Caribbean Restaurant
Lenox Hill,Italian Restaurant,Sushi Restaurant,Coffee Shop,Pizza Place,Cocktail Bar,Café,Gym,Gym / Fitness Center,Burger Joint,Thai Restaurant
Lincoln Square,Plaza,Café,Concert Hall,Performing Arts Venue,Theater,Indie Movie Theater,American Restaurant,Gym / Fitness Center,Wine Shop,Italian Restaurant
Little Italy,Bakery,Coffee Shop,Café,Mediterranean Restaurant,Chinese Restaurant,Italian Restaurant,Bubble Tea Shop,Cocktail Bar,Ice Cream Shop,Pizza Place
Lower East Side,Chinese Restaurant,Bakery,Park,Pizza Place,Ramen Restaurant,Art Gallery,Coffee Shop,Café,Japanese Restaurant,Yoga Studio
Manhattan Valley,Bar,Coffee Shop,Playground,Mexican Restaurant,Yoga Studio,Pizza Place,Park,Fried Chicken Joint,Korean Restaurant,Latin American Restaurant
Manhattanville,Coffee Shop,Seafood Restaurant,Mexican Restaurant,Sushi Restaurant,Italian Restaurant,Chinese Restaurant,Ramen Restaurant,Café,Boutique,Diner
Marble Hill,Coffee Shop,Gym,Sandwich Place,Discount Store,Diner,Pizza Place,Steakhouse,Supplement Shop,Big Box Store,Seafood Restaurant
Midtown,Hotel,Bakery,Coffee Shop,Clothing Store,Sporting Goods Shop,Theater,Steakhouse,Sandwich Place,Bookstore,Japanese Restaurant
Midtown South,Korean Restaurant,Hotel,Japanese Restaurant,Burger Joint,Dessert Shop,Café,Gym / Fitness Center,Bakery,American Restaurant,Cosmetics Shop
Morningside Heights,Park,Bookstore,American Restaurant,Coffee Shop,Deli / Bodega,Burger Joint,Seafood Restaurant,Frozen Yogurt Shop,Supermarket,Mediterranean Restaurant
Murray Hill,Sandwich Place,Coffee Shop,Hotel,Gym / Fitness Center,American Restaurant,Japanese Restaurant,Pizza Place,Gym,Restaurant,Sushi Restaurant
Noho,Italian Restaurant,Hotel,Pizza Place,Yoga Studio,Grocery Store,Coffee Shop,Mexican Restaurant,Wine Bar,Wine Shop,Bookstore
Roosevelt Island,Park,Food & Drink Shop,Gym,Greek Restaurant,Kosher Restaurant,Coffee Shop,Dry Cleaner,Liquor Store,Sandwich Place,Scenic Lookout
Soho,Clothing Store,Italian Restaurant,Coffee Shop,Boutique,Bakery,Mediterranean Restaurant,Shoe Store,Sporting Goods Shop,Salon / Barbershop,Pizza Place
Stuyvesant Town,Park,Baseball Field,Heliport,Gas Station,Farmers Market,Boat or Ferry,Bistro,Gym / Fitness Center,Bar,Cocktail Bar
Sutton Place,Italian Restaurant,Park,Coffee Shop,Furniture / Home Store,Gym / Fitness Center,Pizza Place,Grocery Store,Bagel Shop,Bakery,Bar
Tribeca,Park,American Restaurant,Italian Restaurant,Spa,Wine Shop,Wine Bar,Café,Greek Restaurant,Coffee Shop,Men's Store
Tudor City,Park,Café,Mexican Restaurant,Coffee Shop,Deli / Bodega,Diner,Garden,Thai Restaurant,Greek Restaurant,Seafood Restaurant
Turtle Bay,Italian Restaurant,Coffee Shop,Sushi Restaurant,Deli / Bodega,Japanese Restaurant,Park,Ramen Restaurant,French Restaurant,Seafood Restaurant,Karaoke Bar
Upper East Side,Italian Restaurant,Bakery,Exhibit,Coffee Shop,Gym / Fitness Center,Yoga Studio,Hotel,Juice Bar,French Restaurant,Cosmetics Shop
Upper West Side,Italian Restaurant,Bar,Café,Wine Bar,Coffee Shop,Vegetarian / Vegan Restaurant,Indian Restaurant,Ice Cream Shop,Mediterranean Restaurant,Thai Restaurant
Washington Heights,Café,Bakery,Chinese Restaurant,Deli / Bodega,Mobile Phone Shop,Grocery Store,Sandwich Place,Bank,Tapas Restaurant,Coffee Shop
West Village,Italian Restaurant,New American Restaurant,American Restaurant,Cocktail Bar,Wine Bar,Park,Jazz Club,Theater,Pizza Place,Coffee Shop
Yorkville,Italian Restaurant,Gym,Coffee Shop,Bar,Sushi Restaurant,Deli / Bodega,Wine Shop,Diner,Japanese Restaurant,Bagel Shop
"Kensington Market, Chinatown, Grange Park",Café,Vegetarian / Vegan Restaurant,Coffee Shop,Vietnamese Restaurant,Bar,Mexican Restaurant,Park,Grocery Store,Pizza Place,Dumpling Restaurant
"Toronto Dominion Centre, Design Exchange",Coffee Shop,Hotel,Café,Restaurant,American Restaurant,Seafood Restaurant,Gastropub,Salad Place,Italian Restaurant,Japanese Restaurant
